MS,MH3,Xbbgg+ggbb(fb),Xbbbb(fb),X_to_HY_from_bbgg(fb),X_to_HY_from_4b(fb),X_to_HY(fb),X_to_HYbb(fb),Y_to_bb,Y_to_tautau,Y_to_mumu,Y_to_cc,Y_to_ss,Y_to_tt,Y_to_gluglu,Y_to_gg,Y_to_Zg,Y_to_WW,Y_to_ZZ,Y_to_l+l-l+l-,Y_to_l+l-l+l-.1,Y_to_e+e-e+e-,Y_to_e+e-μ+μ-,Y_to_l+l-νlνl,Y_to_l+l-νlνl.1,Y_to_e+νee-νe,Y_to_e+νeμ-νμ,Y_to_l+l-qq(q=udcsb),Y_to_l+l-qq,Y_to_l+νlqq*,Y_to_νlνlqq,Y_to_qqqq,Y_to_ffff
120,600,0.0921433,-1,33.33513015,-1,33.33513015,21.60116434,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,600,0.294881,-1,106.6805347,-1,106.6805347,69.12898649,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,650,0.0926936,-1,33.53421486,-1,33.53421486,21.73017123,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,650,0.224522,-1,81.2264168,-1,81.2264168,52.63471809,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,700,0.0394737,-1,14.28059259,-1,14.28059259,9.253823997,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,750,0.0184148,-1,6.66201183,-1,6.66201183,4.316983666,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,750,0.123627,-1,44.72514154,-1,44.72514154,28.98189172,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,800,0.0157516,-1,5.698533003,-1,5.698533003,3.692649386,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,800,0.0820737,-1,29.69220194,-1,29.69220194,19.24054686,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,850,0.00929248,-1,3.361785721,-1,3.361785721,2.178437147,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,850,0.0590953,-1,21.37919433,-1,21.37919433,13.85371792,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,900,0.04167,-1,15.07515873,-1,15.07515873,9.768702856,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,1000,0.0206692,-1,7.477597091,-1,7.477597091,4.845482915,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
125,300,1.79269,-1,681.3410259,-1,681.3410259,393.1337719,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,350,1.82258,-1,692.7012071,-1,692.7012071,399.6885965,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,400,1.63905,-1,622.9476421,-1,622.9476421,359.4407895,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,450,1.14944,-1,436.863389,-1,436.863389,252.0701754,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,500,0.963131,-1,366.0536198,-1,366.0536198,211.2129386,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,550,0.626192,-1,237.9944662,-1,237.9944662,137.322807,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,600,0.317463,-1,120.6569826,-1,120.6569826,69.61907895,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,650,0.215023,-1,81.72299249,-1,81.72299249,47.15416667,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,700,0.145824,-1,55.42278573,-1,55.42278573,31.97894737,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,750,0.104312,-1,39.64547417,-1,39.64547417,22.8754386,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,800,0.0706228,-1,26.84134513,-1,26.84134513,15.48745614,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,850,0.0586094,-1,22.27545684,-1,22.27545684,12.8529386,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,900,0.0422258,4.55644,16.04860288,6.842960511,6.842960511,3.948388215,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,1000,0.0216593,2.2606,8.231969656,3.395018157,3.395018157,1.958925477,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
125,1100,-1,1.27654,-1,1.917135485,1.917135485,1.106187175,0.577,0.0632,0.000219,0.0291,0.000246,0,0.0857,0.00228,0.00154,0.215,0.0264,0.000276,0.000125,3.27E-05,5.93E-05,0.0234,0.0106,0.00252,0.00252,0.0037,0.00247,0.0314,0.00738,0.11,0.24
